;title;publish_date;views_cnt;paragraph_cnt;images_cnt;strong_cnt;quote_cnt;list_cnt;list_items_cnt;url;r_flesch_grade;r_flesch_easy;r_liau;r_smog;r_auto;r_lix;level
7;Лаборатория «Теплообмен при фазовых превращениях»;-1;995;10;1;6;0;5;18;https://research.spbstu.ru/labs/laboratory_heat_transfer_during_phase_transformations/;12.998986515876464;-1.9435558938669146;18.37661157024793;21.515507215064826;19.71549412788169;84.63766855154415;postgraduate
8;Лаборатория «Энергоаудит и энергосервис»;-1;945;8;1;4;0;2;7;https://research.spbstu.ru/labs/laboratory_energyaudit/;20.705562500000003;-30.221562500000005;19.0371875;31.432982649837477;22.503924999999995;93.56875;postgraduate
9;Лаборатория биоинформатики;-1;2926;6;1;3;0;1;2;https://research.spbstu.ru/labs/laboratoriya_bioinformatiki/;10.368181818181817;14.966818181818184;13.488181818181829;18.096929563409578;14.15822727272728;79.18181818181819;postgraduate
10;Лаборатория быстрого прототипирования;-1;1926;4;1;2;0;1;1;https://research.spbstu.ru/labs/laboratoriya_bustrogo_prototipirovaniya/;58.23538461538462;-124.84576923076924;19.737307692307702;62.566397848884414;44.118923076923075;175.15384615384616;postgraduate
11;Лаборатория вакуумного литья металлов;-1;1390;4;1;2;0;1;1;https://research.spbstu.ru/labs/laboratoriya_vakuumnogo_litya_metallov/;45.99135802469135;-86.92672839506172;18.68851851851852;52.35497108306246;36.58247530864198;151.37037037037038;postgraduate
12;Лаборатория вакуумного литья полимеров;-1;1060;5;1;2;0;1;1;https://research.spbstu.ru/labs/laboratoriya_vakuumnogo_litya_polimerov/;31.708000000000002;-54.09100000000001;19.78;45.98998258597842;29.434199999999997;120.0;postgraduate
13;Лаборатория вакуумной термической обработки;-1;2174;5;1;3;0;3;17;https://research.spbstu.ru/labs/laboratoriya_vakuumnoy_termoobrabotki/;10.961276729559746;18.650817610062887;12.891698113207553;21.464337875980817;13.555343396226412;74.03899371069183;postgraduate
14;Лаборатория измерений и оцифровки;-1;1416;4;1;2;0;1;1;https://research.spbstu.ru/labs/laboratoriya_izmereniy_i_ocifrovki/;17.54267441860465;-15.39174418604648;17.949069767441863;28.69861253184873;20.412145348837207;98.24418604651163;postgraduate
15;Лаборатория квантовой оптики и квантовой информатики;-1;2829;6;2;3;0;4;9;https://research.spbstu.ru/labs/quantum_optics_informatics_lab/;13.996215909090907;3.142784090909089;16.446988636363635;24.01914892106101;18.01912954545454;84.92954545454546;postgraduate
16;Лаборатория молекулярной нейродегенерации;-1;2441;6;2;3;0;3;7;https://research.spbstu.ru/labs/laboratoriya_molekulyarnoy_neyrodegeneracii/;26.714859154929574;-52.62767605633803;25.782676056338026;40.08002623031866;32.52451056338028;112.96478873239437;postgraduate
17;Лаборатория рентгеноструктурного анализа;-1;3080;5;1;3;0;1;3;https://research.spbstu.ru/labs/laboratoriya_issledovaniya_strukturu_i_svoystv_materialov/;21.20857142857142;-8.662142857142868;14.027142857142863;30.676655057318946;19.020357142857144;97.85714285714286;mixed
18;Лаборатория ультразвуковых технологий;-1;5435;9;17;9;0;4;13;https://research.spbstu.ru/labs/laboratoriya_medicinskaya_ultrazvukovaya_apparatura/;17.990664556962027;-23.8646835443038;20.99278481012658;28.783749755296473;23.549748417721524;90.63607594936708;postgraduate
19;Международный академический центр компетенции «Политехник-SAP»;-1;1487;6;2;3;0;3;8;https://research.spbstu.ru/labs/mezghdunarodnuy_akademicheskiy_centr_kompetencii_politehnik_sap/;12.297619047619047;26.423095238095243;8.908095238095243;25.826171166408717;10.025738095238097;80.52380952380952;high
20;Научная лаборатория «Микроэлектроника (Дизайн-центр проектирования интегральных схем)»;-1;1251;10;2;6;0;6;22;https://research.spbstu.ru/labs/mikroelektronika_dizayn_centr_proektirovaniya_integralnyh_shem/;12.71633751306165;19.62033960292578;11.924022988505747;24.48161885753787;13.231905172413796;86.66927899686522;university
21;Научная лаборатория «Специальный технологический центр-Политех»;-1;2237;6;2;3;0;3;7;https://research.spbstu.ru/labs/nauchnaya_laboratoriya_specialnuy_tehnologicheskiy_centr_politeh/;14.82639534883721;6.971046511627918;13.088604651162797;26.57346131258136;14.880052325581396;84.2906976744186;mixed
22;Научно-испытательная лаборатория «Металлургическая экспертиза»;-1;3309;8;18;5;0;7;22;https://research.spbstu.ru/labs/nauchno_isputatelnaya_laboratoriya_metallurgicheskaya_ekspertiza/;14.267468723936613;6.974345287739766;15.079403669724776;23.967211375910868;16.831431192660553;80.82735613010843;mixed
23;Научно-испытательная лаборатория конструкционных и строительных материалов «Политехтест КСМ»;-1;2989;9;1;3;0;1;2;https://research.spbstu.ru/labs/nauchno_isputatelnaya_laboratoriya_konstrukcionnuh_i_stroitelnuh_materialov_politehtest_ksm/;69.82135338345864;-140.94244360902255;17.596691729323304;64.71746477170727;49.73349248120302;196.90977443609023;postgraduate
24;Научно-исследовательская лаборатория  «Мехатроника»;-1;1699;6;2;3;0;3;8;https://research.spbstu.ru/labs/nauchno_issledovatelskaya_laboratoriya_mehatronika/;15.196177128676617;5.991804035637301;15.493135755258123;25.58307075397825;17.76582925837028;81.81554859444286;mixed
25;Научно-исследовательская лаборатория «Газовая динамика турбомашин»;-1;3063;64;18;17;0;11;40;https://research.spbstu.ru/labs/nauchno_issledovatelskaya_laboratoriya_gazovaya_dinamika_turbomashin/;16.316975308641975;-2.5666049382716096;17.089753086419755;26.97966352886307;19.63223765432099;87.80864197530865;postgraduate
26;Научно-исследовательская лаборатория «Конструкционные полимерные композиты»;-1;2769;7;11;12;0;4;23;https://research.spbstu.ru/labs/polimer/;16.859305745554035;-13.223498632010973;19.446162790697677;28.898535491424866;21.877162790697675;88.83994528043776;postgraduate
27;Научно-исследовательская лаборатория «Микроскопия и микроанализ»;-1;2545;11;13;7;0;4;20;https://research.spbstu.ru/labs/nauchno_issledovatelskaya_laboratoriya_mikroskopiya_i_mikroanaliz/;14.071227983741839;-3.632471363468426;18.616175637393766;22.47724275053232;20.188464650819064;87.58578642689986;postgraduate
28;Научно-исследовательская лаборатория «Полимерные материалы для тканевой инженерии и трансплантологии»;-1;3172;7;14;10;0;5;39;https://research.spbstu.ru/labs/nauchno_issledovatelskaya_laboratoriya_polimernye_materialy_dlya_tkanevoy_inzhenerii_i_transplantolo/;12.17836898395722;9.793983957219268;14.777070707070713;22.23075742620166;15.738214646464648;80.21538918597743;mixed
29;Научно-исследовательская лаборатория «Самоорганизующиеся высокотемпературные наноструктуры»;-1;2079;6;14;4;0;7;22;https://research.spbstu.ru/labs/nanostructures/;13.030443217665617;6.309179810725567;15.85769716088329;23.773304997407088;17.107439195583595;86.82791798107255;postgraduate
30;Научно-исследовательская лаборатория «Технология GAN для светодиодов»;-1;1366;7;7;5;0;4;23;https://research.spbstu.ru/labs/gan/;10.279759197324413;24.25374247491638;12.426923076923075;19.472561958801375;13.026110033444816;83.36120401337791;mixed
31;Научно-исследовательская лаборатория «Экологическая биотехнология»;-1;3296;11;7;7;0;4;21;https://research.spbstu.ru/labs/eco_biotechnologies/;12.468846673421144;17.5705454238433;12.945075987841946;22.87776087720096;14.139500253292802;80.89175954069572;postgraduate
32;Научно-исследовательская лаборатория Гидропривод;-1;1513;6;1;3;0;1;2;https://research.spbstu.ru/labs/nauchno_issledovatelskaya_laboratoriya_gidroprivod/;12.198581871345024;0.9046637426900475;17.459351851851856;19.61021472274781;18.664119883040932;79.42397660818713;postgraduate
33;Научно-исследовательская лаборатория молекулярной вирусологии и онкологии;-1;2819;6;2;3;0;3;8;https://research.spbstu.ru/labs/nauchno_issledovatelskaya_laboratoriya_molekulyarnoy_virusologii_i_onkologii/;17.172100921882578;-1.5563148956817088;14.60886462882096;27.852425953302873;17.42956841339155;89.63658418243571;mixed
34;Научно-исследовательская лаборатория нано- и микросистемной техники;-1;1660;6;1;3;0;1;2;https://research.spbstu.ru/labs/nauchno_issledovatelskaya_laboratoriya_nano_i_mikrosistemnoy_tehniki/;15.186350877192982;-23.606929824561405;22.095438596491228;21.525087892718858;23.93998070175438;78.06666666666668;postgraduate
35;"Научно-исследовательская лаборатория ""Лучевая модификация поверхности и наноструктур""";-1;1132;10;6;6;0;6;31;https://research.spbstu.ru/labs/luchevoi_modifikatsii_nanostructur/;10.626106410979506;22.665898665162615;12.449187817258888;21.164821896092416;13.09180090242527;83.12051137431848;mixed
36;Научно-исследовательский и образовательный центр «Везерфорд-Политехник»;-1;2219;4;1;3;0;4;40;https://research.spbstu.ru/labs/nauchno_issledovatelskiy_i_obrazovatelnuy_centr_vezerford_politehnik/;17.933152958152956;-18.910295815295825;20.605064935064938;27.695791321244144;23.41360930735931;91.77849927849928;postgraduate
37;Научно-исследовательский комплекс «Нанобиотехнологии»;-1;2119;10;1;10;0;4;18;https://research.spbstu.ru/labs/laboratoriya_molekulyarnoy_biologii_nukleotid_svyazuvaushih_belkov_lmbnsb/;25.84702702702703;-41.381756756756744;20.672702702702708;36.50301084958552;27.083689189189194;106.1891891891892;postgraduate
38;Научно-образовательный центр «Газпромнефть-Политех»;-1;1354;23;7;7;0;10;34;https://research.spbstu.ru/labs/noc_gazprom_politeh/;22.36301717699776;-27.210145631067974;20.64330097087379;32.85679338654865;25.741731142643765;103.7796863330844;postgraduate
39;Научно-образовательный центр «Физика и технология гетерогенных материалов и наногетероструктур»;-1;1478;6;2;3;0;3;8;https://research.spbstu.ru/labs/nauchno_obrazovatelnuy_centr_fizika_i_tehnologiya_geterogennuh_materialov_i_nanogeterostruktur/;10.638942307692307;4.877115384615394;13.862307692307688;18.00646819394059;15.059062499999996;78.89423076923077;mixed
40;Научно-образовательный центр «Физика нанокомпозитных материалов электронной техники»;-1;2614;9;17;8;0;6;42;https://research.spbstu.ru/labs/ncm/;14.373437411598303;0.24222418670439083;17.411159830268744;24.141130110478418;19.127964798444133;83.16297736916549;postgraduate
41;Научно-образовательный центр Института Проблем Машиноведения РАН «Моделирование и идентификация сложных механических систем»;-1;1380;5;1;3;0;1;2;https://research.spbstu.ru/labs/nauchno_obrazovatelnuy_centr_instituta_problem_mashinovedeniya_ran_modelirovanie_i_identifikaciya_slozghnuh_mehanicheskih_sistem/;47.55796019900497;-77.04012437810947;15.602835820895521;50.58140277754682;35.362029850746275;152.39303482587064;postgraduate
